1974650349.6503491,570367132.8671329,0,0,0,0,448426573.42657334,-224213286.7132867,0,0,0,0,-1922202797.2027969,-538898601.39860129,0,0,0,0,-500874125.87412578,192744755.24475527,0,0,0,0
570367132.8671329,5505026223.7762222,0,0,0,0,-166520979.02097902,1418050699.300699,0,0,0,0,-538898601.39860129,-4456075174.8251743,0,0,0,0,135052447.55244756,-2467001748.2517471,0,0,0,0
0,0,1091200466.2004664,448717948.71794873,-74786324.786324799,0,0,0,254953379.95337996,373931623.93162394,-74786324.786324799,0,0,0,-877039627.03962708,224358974.3589744,-37393162.3931624,0,0,0,-469114219.11421907,299145299.1452992,-37393162.3931624,0
0,0,448717948.71794873,249333662.74928778,-4829.545454545455,0,0,0,74786324.786324784,124655653.49002849,1464.1608391608397,0,0,0,-224358974.3589744,49820530.626780644,4261.3636363636369,0,0,0,-299145299.14529914,99694426.638176665,-895.97902097902158,0
0,0,-74786324.786324799,-4829.545454545455,249304969.5674696,0,0,0,74786324.786324799,1944.9300699300702,124646846.67184667,0,0,0,37393162.3931624,4261.3636363636369,49843826.081326097,0,0,0,-37393162.3931624,-1376.748251748252,99708631.183631212,0
0,0,0,0,0,3814102.564102564,0,0,0,0,0,1907051.282051282,0,0,0,0,0,762820.51282051299,0,0,0,0,0,1525641.025641026
448426573.42657334,-166520979.02097899,0,0,0,0,359265734.2657342,-179632867.1328671,0,0,0,0,-500874125.87412578,135052447.55244756,0,0,0,0,-306818181.81818175,211101398.60139853,0,0,0,0
-224213286.7132867,1418050699.300699,0,0,0,0,-179632867.1328671,889641608.39160812,0,0,0,0,192744755.24475521,-2467001748.2517476,0,0,0,0,211101398.60139853,159309440.55944055,0,0,0,0
0,0,254953379.95337996,74786324.786324769,74786324.786324799,0,0,0,193764568.76456875,149572649.5726496,74786324.786324799,0,0,0,-469114219.11421919,149572649.57264957,37393162.3931624,0,0,0,20396270.396270409,74786324.786324799,37393162.3931624,0
0,0,373931623.93162394,124655653.49002849,1944.9300699300697,0,0,0,149572649.57264957,249295201.21082625,1420.4545454545455,0,0,0,-448717948.71794879,99694426.638176665,-1376.748251748252,0,0,0,-74786324.786324784,49858992.16524218,-1988.6363636363635,0
0,0,-74786324.786324799,1464.1608391608395,124646846.67184667,0,0,0,74786324.786324799,1420.4545454545453,249291508.02900806,0,0,0,37393162.3931624,-895.97902097902124,99708631.183631212,0,0,0,-37393162.3931624,-1988.6363636363635,49857287.619787641,0
0,0,0,0,0,1907051.282051282,0,0,0,0,0,3814102.564102564,0,0,0,0,0,1525641.025641026,0,0,0,0,0,762820.51282051299
-1922202797.2027969,-538898601.39860129,0,0,0,0,-500874125.87412578,192744755.24475521,0,0,0,0,2079545454.5454538,633304195.80419564,0,0,0,0,343531468.53146851,-287150349.65034962,0,0,0,0
-538898601.39860129,-4456075174.8251743,0,0,0,0,135052447.55244753,-2467001748.2517476,0,0,0,0,633304195.80419564,7602928321.6783199,0,0,0,0,-229458041.95804188,-679851398.60139847,0,0,0,0
0,0,-877039627.03962708,-224358974.35897434,37393162.3931624,0,0,0,-469114219.11421913,-448717948.71794879,37393162.3931624,0,0,0,1519522144.5221446,-448717948.71794879,74786324.786324799,0,0,0,-173368298.36829829,-224358974.3589744,74786324.786324799,0
0,0,224358974.3589744,49820530.626780644,4261.3636363636369,0,0,0,149572649.57264957,99694426.638176665,-895.97902097902147,0,0,0,-448717948.71794879,149636351.49572656,-5965.909090909091,0,0,0,74786324.786324769,74780315.170940205,2600.5244755244762,0
0,0,-37393162.3931624,4261.3636363636369,49843826.081326097,0,0,0,37393162.3931624,-1376.7482517482517,99708631.183631212,0,0,0,74786324.786324799,-5965.909090909091,149596862.8593629,0,0,0,-74786324.786324799,3081.2937062937062,74782303.807303831,0
0,0,0,0,0,762820.51282051299,0,0,0,0,0,1525641.025641026,0,0,0,0,0,2288461.5384615394,0,0,0,0,0,1144230.7692307697
-500874125.87412578,135052447.5524475,0,0,0,0,-306818181.81818175,211101398.60139853,0,0,0,0,343531468.53146851,-229458041.95804185,0,0,0,0,464160839.16083908,-116695804.19580416,0,0,0,0
192744755.24475527,-2467001748.2517476,0,0,0,0,211101398.60139853,159309440.55944043,0,0,0,0,-287150349.65034962,-679851398.60139847,0,0,0,0,-116695804.19580415,2987543706.2937045,0,0,0,0
0,0,-469114219.11421907,-299145299.14529914,-37393162.3931624,0,0,0,20396270.396270409,-74786324.786324799,-37393162.3931624,0,0,0,-173368298.36829826,74786324.786324769,-74786324.786324799,0,0,0,622086247.08624697,-149572649.57264957,-74786324.786324799,0
0,0,299145299.1452992,99694426.638176665,-1376.7482517482517,0,0,0,74786324.786324799,49858992.16524218,-1988.6363636363635,0,0,0,-224358974.35897443,74780315.170940205,3081.2937062937062,0,0,0,-149572649.57264957,149597889.95726502,284.09090909090901,0
0,0,-37393162.3931624,-895.9790209790217,99708631.183631212,0,0,0,37393162.3931624,-1988.6363636363635,49857287.619787641,0,0,0,74786324.786324799,2600.5244755244757,74782303.807303831,0,0,0,-74786324.786324799,284.09090909090878,149583401.32090136,0
0,0,0,0,0,1525641.025641026,0,0,0,0,0,762820.51282051299,0,0,0,0,0,1144230.7692307697,0,0,0,0,0,2288461.5384615394
