1339743589.7435896,374999999.99999994,0,0,0,0,1083333333.333333,-28846153.846153844,0,0,0,0,-1275641025.6410255,-374999999.99999994,0,0,0,0,-1147435897.4358974,28846153.846153844,0,0,0,0
374999999.99999994,4649038461.5384607,0,0,0,0,28846153.846153844,2274038461.5384617,0,0,0,0,-374999999.99999994,-2341346153.8461533,0,0,0,0,-28846153.84615384,-4581730769.2307673,0,0,0,0
0,0,922364672.3646723,448717948.71794868,-74786324.786324814,0,0,0,423789173.78917372,224358974.35897437,-74786324.786324814,0,0,0,-461182336.18233615,224358974.35897437,-37393162.393162407,0,0,0,-884971509.97150981,448717948.71794868,-37393162.393162407,0
0,0,448717948.71794873,299184134.61538458,-3125,0,0,0,224358974.3589744,149591506.41025651,-240.38461538461536,0,0,0,-224358974.3589744,74766907.051282093,3125,0,0,0,-448717948.71794873,149534375.00000009,240.38461538461513,0
0,0,-74786324.786324799,-3125,299159829.05982906,0,0,0,74786324.786324799,240.38461538461536,149578311.96581206,0,0,0,37393162.3931624,3125,74779059.829059869,0,0,0,-37393162.3931624,-240.38461538461513,149559722.2222223,0
0,0,0,0,0,4576923.0769230779,0,0,0,0,0,2288461.5384615394,0,0,0,0,0,1144230.7692307697,0,0,0,0,0,2288461.5384615394
1083333333.333333,28846153.846153844,0,0,0,0,1339743589.7435896,-374999999.99999994,0,0,0,0,-1147435897.4358974,-28846153.846153844,0,0,0,0,-1275641025.6410255,374999999.99999994,0,0,0,0
-28846153.846153844,2274038461.5384617,0,0,0,0,-374999999.99999994,4649038461.5384607,0,0,0,0,28846153.84615384,-4581730769.2307673,0,0,0,0,374999999.99999994,-2341346153.8461533,0,0,0,0
0,0,423789173.78917372,224358974.35897434,74786324.786324814,0,0,0,922364672.3646723,448717948.71794868,74786324.786324814,0,0,0,-884971509.97150981,448717948.71794873,37393162.393162407,0,0,0,-461182336.18233615,224358974.3589744,37393162.393162407,0
0,0,224358974.35897437,149591506.41025651,240.38461538461536,0,0,0,448717948.71794873,299184134.61538464,3125,0,0,0,-448717948.71794873,149534375.00000006,-240.38461538461516,0,0,0,-224358974.35897437,74766907.051282078,-3125,0
0,0,-74786324.786324799,-240.38461538461536,149578311.96581206,0,0,0,74786324.786324799,3125,299159829.05982912,0,0,0,37393162.3931624,240.38461538461516,149559722.22222227,0,0,0,-37393162.3931624,-3125,74779059.829059854,0
0,0,0,0,0,2288461.5384615394,0,0,0,0,0,4576923.0769230779,0,0,0,0,0,2288461.5384615394,0,0,0,0,0,1144230.7692307697
-1275641025.6410255,-374999999.99999994,0,0,0,0,-1147435897.4358974,28846153.84615384,0,0,0,0,1339743589.7435894,374999999.99999994,0,0,0,0,1083333333.3333333,-28846153.84615384,0,0,0,0
-374999999.99999994,-2341346153.8461533,0,0,0,0,-28846153.846153844,-4581730769.2307673,0,0,0,0,374999999.99999994,4649038461.5384607,0,0,0,0,28846153.84615384,2274038461.5384617,0,0,0,0
0,0,-461182336.18233615,-224358974.35897434,37393162.393162407,0,0,0,-884971509.97150981,-448717948.71794868,37393162.393162407,0,0,0,922364672.36467218,-448717948.71794873,74786324.786324814,0,0,0,423789173.78917378,-224358974.3589744,74786324.786324814,0
0,0,224358974.3589744,74766907.051282093,3125,0,0,0,448717948.71794873,149534375.00000006,240.38461538461519,0,0,0,-448717948.71794873,299184134.61538464,-3124.9999999999995,0,0,0,-224358974.3589744,149591506.41025651,-240.38461538461536,0
0,0,-37393162.3931624,3125,74779059.829059869,0,0,0,37393162.3931624,-240.38461538461516,149559722.22222227,0,0,0,74786324.786324799,-3124.9999999999995,299159829.05982912,0,0,0,-74786324.786324799,240.38461538461536,149578311.96581206,0
0,0,0,0,0,1144230.7692307697,0,0,0,0,0,2288461.5384615394,0,0,0,0,0,4576923.0769230779,0,0,0,0,0,2288461.538461539
-1147435897.4358974,-28846153.84615384,0,0,0,0,-1275641025.6410255,374999999.99999994,0,0,0,0,1083333333.3333333,28846153.84615384,0,0,0,0,1339743589.7435894,-374999999.99999994,0,0,0,0
28846153.846153844,-4581730769.2307673,0,0,0,0,374999999.99999994,-2341346153.8461533,0,0,0,0,-28846153.84615384,2274038461.5384617,0,0,0,0,-374999999.99999994,4649038461.5384607,0,0,0,0
0,0,-884971509.97150981,-448717948.71794868,-37393162.393162407,0,0,0,-461182336.18233615,-224358974.35897437,-37393162.393162407,0,0,0,423789173.78917378,-224358974.35897437,-74786324.786324814,0,0,0,922364672.3646723,-448717948.71794868,-74786324.786324814,0
0,0,448717948.71794868,149534375.00000009,-240.38461538461513,0,0,0,224358974.3589744,74766907.051282093,-3125,0,0,0,-224358974.3589744,149591506.41025651,240.38461538461536,0,0,0,-448717948.71794868,299184134.61538464,3125,0
0,0,-37393162.3931624,240.38461538461513,149559722.2222223,0,0,0,37393162.3931624,-3125,74779059.829059869,0,0,0,74786324.786324799,-240.38461538461536,149578311.96581206,0,0,0,-74786324.786324799,3125,299159829.05982912,0
0,0,0,0,0,2288461.5384615394,0,0,0,0,0,1144230.7692307697,0,0,0,0,0,2288461.538461539,0,0,0,0,0,4576923.0769230789
