971153846.15384603,375000000,0,0,0,0,-567307692.30769217,-28846153.846153837,0,0,0,0,-586538461.53846145,-374999999.99999994,0,0,0,0,182692307.69230768,28846153.846153837,0,0,0,0
375000000,971153846.15384603,0,0,0,0,28846153.846153837,182692307.69230768,0,0,0,0,-375000000,-586538461.53846145,0,0,0,0,-28846153.846153833,-567307692.30769229,0,0,0,0
0,0,299145299.1452992,74786324.786324799,-74786324.786324799,0,0,0,-74786324.786324799,37393162.393162407,-74786324.786324799,0,0,0,-149572649.5726496,37393162.3931624,-37393162.3931624,0,0,0,-74786324.786324799,74786324.786324799,-37393162.393162407,0
0,0,74786324.786324799,49866203.703703724,-3125.0000000000005,0,0,0,37393162.393162407,24929736.467236478,-240.38461538461524,0,0,0,-37393162.393162407,12460060.541310545,3125,0,0,0,-74786324.786324799,24923486.467236478,240.38461538461524,0
0,0,-74786324.786324799,-3125.0000000000005,49866203.703703724,0,0,0,74786324.786324799,240.38461538461524,24923486.467236478,0,0,0,37393162.3931624,3125,12460060.541310545,0,0,0,-37393162.3931624,-240.38461538461524,24929736.467236478,0
0,0,0,0,0,762820.51282051322,0,0,0,0,0,381410.25641025661,0,0,0,0,0,190705.12820512831,0,0,0,0,0,381410.25641025661
-567307692.30769217,28846153.846153837,0,0,0,0,971153846.15384603,-374999999.99999994,0,0,0,0,182692307.69230768,-28846153.846153837,0,0,0,0,-586538461.53846145,375000000,0,0,0,0
-28846153.846153837,182692307.69230768,0,0,0,0,-374999999.99999994,971153846.15384603,0,0,0,0,28846153.846153837,-567307692.30769217,0,0,0,0,374999999.99999994,-586538461.53846145,0,0,0,0
0,0,-74786324.786324799,37393162.393162407,74786324.786324799,0,0,0,299145299.1452992,74786324.786324814,74786324.786324799,0,0,0,-74786324.786324799,74786324.786324799,37393162.3931624,0,0,0,-149572649.5726496,37393162.3931624,37393162.393162407,0
0,0,37393162.393162407,24929736.467236478,240.38461538461524,0,0,0,74786324.786324799,49866203.703703724,3125.0000000000005,0,0,0,-74786324.786324799,24923486.467236474,-240.3846153846153,0,0,0,-37393162.393162407,12460060.541310545,-3125.0000000000005,0
0,0,-74786324.786324799,-240.38461538461524,24923486.467236478,0,0,0,74786324.786324799,3125.0000000000005,49866203.703703724,0,0,0,37393162.3931624,240.38461538461519,24929736.467236474,0,0,0,-37393162.3931624,-3125.0000000000005,12460060.541310545,0
0,0,0,0,0,381410.25641025661,0,0,0,0,0,762820.51282051322,0,0,0,0,0,381410.25641025661,0,0,0,0,0,190705.12820512831
-586538461.53846145,-375000000,0,0,0,0,182692307.69230768,28846153.846153837,0,0,0,0,971153846.15384603,374999999.99999994,0,0,0,0,-567307692.30769229,-28846153.846153833,0,0,0,0
-374999999.99999994,-586538461.53846145,0,0,0,0,-28846153.846153837,-567307692.30769217,0,0,0,0,374999999.99999994,971153846.15384603,0,0,0,0,28846153.846153837,182692307.69230768,0,0,0,0
0,0,-149572649.5726496,-37393162.393162407,37393162.3931624,0,0,0,-74786324.786324799,-74786324.786324814,37393162.3931624,0,0,0,299145299.1452992,-74786324.786324799,74786324.786324799,0,0,0,-74786324.786324799,-37393162.3931624,74786324.786324799,0
0,0,37393162.3931624,12460060.541310545,3125,0,0,0,74786324.786324799,24923486.467236474,240.38461538461519,0,0,0,-74786324.786324799,49866203.703703724,-3125.0000000000005,0,0,0,-37393162.3931624,24929736.467236478,-240.38461538461524,0
0,0,-37393162.3931624,3125,12460060.541310545,0,0,0,37393162.3931624,-240.3846153846153,24929736.467236474,0,0,0,74786324.786324799,-3125.0000000000005,49866203.703703724,0,0,0,-74786324.786324799,240.38461538461524,24923486.467236478,0
0,0,0,0,0,190705.12820512831,0,0,0,0,0,381410.25641025661,0,0,0,0,0,762820.51282051322,0,0,0,0,0,381410.25641025655
182692307.69230768,-28846153.846153833,0,0,0,0,-586538461.53846145,374999999.99999994,0,0,0,0,-567307692.30769229,28846153.846153837,0,0,0,0,971153846.15384603,-375000000,0,0,0,0
28846153.846153837,-567307692.30769229,0,0,0,0,375000000,-586538461.53846145,0,0,0,0,-28846153.846153833,182692307.69230768,0,0,0,0,-375000000,971153846.15384603,0,0,0,0
0,0,-74786324.786324799,-74786324.786324799,-37393162.3931624,0,0,0,-149572649.5726496,-37393162.393162407,-37393162.3931624,0,0,0,-74786324.786324799,-37393162.3931624,-74786324.786324799,0,0,0,299145299.1452992,-74786324.786324799,-74786324.786324799,0
0,0,74786324.786324799,24923486.467236478,-240.38461538461524,0,0,0,37393162.393162407,12460060.541310545,-3125.0000000000005,0,0,0,-37393162.393162407,24929736.467236478,240.38461538461524,0,0,0,-74786324.786324799,49866203.703703716,3125.0000000000005,0
0,0,-37393162.393162407,240.38461538461524,24929736.467236478,0,0,0,37393162.393162407,-3125.0000000000005,12460060.541310545,0,0,0,74786324.786324799,-240.38461538461524,24923486.467236478,0,0,0,-74786324.786324799,3125.0000000000005,49866203.703703716,0
0,0,0,0,0,381410.25641025661,0,0,0,0,0,190705.12820512831,0,0,0,0,0,381410.25641025661,0,0,0,0,0,762820.5128205131
